bangumiTitle	aliasJp	aliasSearch
PHI·BRAIN 神之谜题  第二季	ファイ・ブレイン 〜神のパズル 第2シリーズ	PHI BRAIN,神之谜,神之谜题2,神之谜题
PHI·BRAIN 神之谜题 第三季	ファイ・ブレイン 〜神のパズル 第3シリーズ	PHI BRAIN,神之谜,神之谜题2,神之谜题
限制级杀手	殺し屋さん	限制级杀手,殺し屋さん
第一神拳	はじめの一歩	
第一神拳 New Challenger	はじめの一歩 New Challenger	第一神拳,New Challenger
第一神拳 Rising	はじめの一歩 Rising	第一神拳,Rising
KY系JC小空气	KY系JCクウキちゃん	KY系JCクウキちゃん,KY系JC小空气
有顶天家族	有頂天家族	有頂天家族
玉响～hitotose～	たまゆら〜hitotose〜	玉响,たまゆらじお
玉响～more aggressive～	たまゆら〜もあぐれっしぶ〜	玉响,たまゆら
跟班×服务	サーバント×サービス	SERVANT X SERVICE,サーバント×サービス
现视研1	げんしけん	现代视觉文化研究会,げんしけん,现视研
现视研2		现代视觉文化研究会,げんしけん
现视研 二代目	げんしけん 二代目	げんしけん二代目,现视研
科学小飞侠Crowds	ガッチャマン クラウズ	科学忍者队,科学小飞侠CROWDS,科学忍者队CROWDS,GATCHAMANCROWDS
科学小飞侠 OVA	ガッチャマン	科学忍者队,科学小飞侠CROWDS,科学忍者队CROWDS,GATCHAMANCROWDS
蔷薇少女 第一季		ROZEN MAIDEN,ローゼンメイデン
蔷薇少女 梦之终结	ローゼンメイデン・トロイメント	ROZEN MAIDEN,ローゼンメイデン
蔷薇少女 序曲	ローゼンメイデン・オーベルテューレ	ROZEN MAIDEN,ローゼンメイデン
新蔷薇少女	ローゼンメイデン	ローゼンメイデン 新作
战姬绝唱SYMPHOGEAR	戦姫絶唱シンフォギア	戦姫絶唱シンフォギア,戦姫絶唱,战姬绝唱
战姬绝唱SYMPHOGEAR G	戦姫絶唱シンフォギアG	战姬绝唱
八犬传-东方八犬异闻- 第一季	八犬伝 -東方八犬異聞-	八犬伝,八犬傳─東方八犬異聞─,东方八犬异闻
八犬传-东方八犬异闻-  第二季	八犬伝 -東方八犬異聞-  二期	八犬伝東方八犬異聞(第2期),八犬传
超次元游戏 海王星	超次元ゲイム ネプテューヌ THE ANIMATION	超次元游戏,超次元游戏 海王星,超次元战记 战机少女,超次元ゲイム ネプテューヌ
特例措置团体斯特拉女子学院高等科C3部	ステラ女学院高等科C3部	斯特拉女子学院高等科C3部
RDG 濒危物种少女	RDG レッドデータガール	RDG　レッドデータガール
恶魔阿萨谢尔在召唤你 第一季	よんでますよ、アザゼルさん。	
恶魔阿萨谢尔在召唤你 第二季	よんでますよ、アザゼルさん。Z	よんでますよ、アザゼルさん。Z
人鱼又上钩	波打際のむろみさん	波打際のむろみさん
恶之华	惡の華	恶の华,恶之华
KARNEVAL狂欢节	カーニヴァル	狂欢节,カーニヴァル,KARNEVAL
写真女友	フォトカノ	フォトカノ,PHOTO KANO,恋曲写真,照片女友
王者天下	キングダム	キングダム,王者天下 II,王者天下,Kingdom
王者天下 第二季	キングダム 第2シリーズ	キングダム,王者天下 II
学活！ 第二季	ガッ活! 第2シリーズ	ガッ活！（第2シリーズ）
穿透幻影的太阳	幻影ヲ駆ケル太陽	透过幻影的太阳,幻境之光,幻影ヲ駆ケル太陽,驱影之阳
我是国王		我是国王大人,ぼくは王さま
麻雀酒店	スパロウズホテル	スパロウズホテル,麻雀酒店
天使的水果糖	天使のどろっぷ	天使的水果糖
成年女性的动画时间 第一季		女性的动画时间,大人女子のアニメタイム,大妹子的动画时间
成年女性的动画时间 第二季		女性的动画时间,大人女子のアニメタイム,大妹子的动画时间
歌牌情缘	ちはやふる	花牌情缘,歌牌情缘,ちはやふる
歌牌情缘2	ちはやふる2	歌牌情缘,花牌情缘,ちはやふる2
南家三姐妹	みなみけ	みなみけ,MINAMI KE
南家三姐妹 再来一碗	みなみけ〜おかわり〜	みなみけ,MINAMI KE
南家三姐妹 欢迎回来	みなみけ おかえり	みなみけ,MINAMI KE
南家三姐妹 第四季		みなみけ ただいま
Q弟侦探因幡	キューティクル探偵因幡	キューティクル探偵因幡,Q弟偵探因幡
学生会的一己之见	生徒会の一存 碧陽学園生徒会議事録	学生会的一己之见,学生会的一存,碧阳学园学生会议事录,生徒会の一存,碧陽学園生徒会議事録
学生会的一己之见 Lv.2	生徒会の一存 Lv.2	学生会的一己之见,学生会的一存,生徒会の一存 Lv.2
