bangumiTitle	aliasJp	aliasSearch
绝对双刃	アブソリュート・デュオ	绝对双刃,アブソリュート·デュオ,ABSOLUTE DUO
ISUCA	ISUCA	ISUCA 依丝卡,イスカ,ISUCA-イスカ-,依丝卡
动画心疗系	アニメで分かる心療内科	漫画心疗系,アニメで分かる心療内科
关于完全听不懂老公在说什么的事 第一季	旦那が何を言っているかわからない件	旦那が何を言っているかわからない件,关公说事,关于老公
魔法少女奈叶	魔法少女リリカルなのは	
魔法少女奈叶A's	魔法少女リリカルなのはA's	
魔法少女奈叶StrikerS	魔法少女リリカルなのはStrikerS	
魔法少女奈叶ViVid	魔法少女リリカルなのはViVid	魔法少女リリカルなのはVIVID,魔法少女奈叶VIVID
我的青春恋爱物语果然有问题	やはり俺の青春ラブコメはまちがっている。	BrainsBase,果然我的青春恋爱喜剧是错误,ぽんかん⑧,やはり俺の青春ラブコメはまちがっている,我的青春恋爱物语果然有问题。,果然我的青春恋爱喜剧搞错了
我的青春恋爱物语果然有问题 续	やはり俺の青春ラブコメはまちがっている。続	我的青春恋爱物语果然有问题,BrainsBase,果然我的青春恋爱喜剧是错误,ぽんかん⑧,やはり俺の青春ラブコメはまちがっている
吹响吧！上低音号	響け！ユーフォニアム	吹响吧！上低音号,響け！ユーフォニアム,吹响！悠风号
御神乐学园组曲	ミカグラ学園組曲	御神乐学园组曲,ミカグラ学園組曲
雨色可可	雨色ココア	雨色ココア,雨色可可
亚尔斯兰战记	アルスラーン戦記	アルスラーン戦記,亚尔斯兰战记
可塑性记忆	プラスティック・メモリーズ	可塑性记忆,Plastic Memories,プラスティック・メモリーズ
幻界战线	血界戦線	幻界战线,KEKKAI SENSEN
枪神斯托拉塔斯	ガンスリンガーストラトス	
终结的炽天使	終わりのセラフ	终结的炽天使,终わりのセラフ
吸血鬼福尔摩斯	VAMPIRE HOLMES	VAMPIRE HOLMES,吸血鬼福尔摩斯
长门有希酱的消失	長門有希ちゃんの消失	长门有希的消失,長門有希ちゃんの消失,长门有希酱的消失
食戟之灵	食戟のソーマ	食戟之灵,食戟のソーマ
歌之☆王子殿下 真爱1000%	うたの☆プリンスさまっ♪ マジLOVE1000%	うたの☆プリンスさまっ♪,歌之王子殿下,歌之☆王子殿下,歌之☆王子殿下 真爱1000%
歌之☆王子殿下 真爱2000%	うたの☆プリンスさまっ♪ マジLOVE2000%	歌之☆王子殿下,うたの☆プリンスさまっ♪,歌之☆王子殿下 真爱2000%,歌之王子殿下 第二季
歌之☆王子殿下 真爱REVOLUTIONS	うたの☆プリンスさまっ♪ マジLOVEレボリューションズ	歌之王子殿下,歌之☆王子殿下,うたの☆プリンスさまっ♪ ,マジLOVEレボリューションズ,歌之王子殿下 真爱革命
攻壳机动队 STAND ALONE COMPLEX	攻殻機動隊 STAND ALONE COMPLEX	GHOST IN THE SHELL,STAND ALONE COMPLEX,攻壳机动队,攻壳
攻壳机动队 S.A.C. 2nd GIG	攻殻機動隊 S.A.C. 2nd GIG	攻殻機動隊S.A.C 2ND GIG,攻壳机动队第二季,攻壳
攻壳机动队 S.A.C. SSS 3D	攻殻機動隊 S.A.C. SOLID STATE SOCIETY 3D	GHOST IN THE SHELL,STAND ALONE COMPLEX,攻壳机动队
攻壳机动队2 无罪	イノセンス	GHOST IN THE SHELL,STAND ALONE COMPLEX,攻壳机动队,攻壳机动队2 无罪
攻壳机动队ARISE ALTERNATIVE ARCHITECTURE	攻殻機動隊ARISE ALTERNATIVE ARCHITECTURE	GHOST IN THE SHELL,STAND ALONE COMPLEX,攻壳机动队
怪盗JOKER 第一季	怪盗ジョーカー	怪盗JOKER,怪盗ジョーカー
怪盗JOKER 第二季	怪盗ジョーカー シーズン2	怪盗ジョーカー,怪盗Joker
黏黏糊糊！！角质君 第一季		にゅるにゅる！！KAKUSENくん
黏黏糊糊！！角质君 第二季		にゅるにゅる!!KAKUSENくん2期
伪恋	ニセコイ	伪恋,ニセコィ
伪恋：	ニセコイ:	伪恋：,ニセコイ:,伪恋 第二季
伪恋 OAD	ニセコイ OAD	伪恋,ニセコィ
希德尼娅的骑士 第一季	シドニアの騎士	シドニアの騎士,KNIGHTS OF SIDONIA
希德尼娅的骑士 第二季	シドニアの騎士 第九惑星戦役	シドニアの騎士 第九惑星戦役,希德尼娅的骑士 第九惑星战役
摸索吧！部活剧	てさぐれ！部活もの	てさくれ！部活もの,てさぐれ！部活もの,摸索吧！部活剧
摸索吧！部活剧 再来一个	てさぐれ!部活もの あんこーる	てさくれ！部活もの,てさぐれ！部活もの,摸索吧！部活剧 再来
摸索吧！部活剧 第三季	てさぐれ！部活もの すぴんおふ プルプルんシャルムと遊ぼう	てさくれ！部活もの,てさぐれ！部活もの,摸索吧！部活剧 第三
Fate/stay night [Unlimited Blade Works] 第一季	Fate/stay night [Unlimited Blade Works]	Fate,UBW,FSN UBW,UNLIMITED BLADE WORKS,无限剑制
Fate/stay night [Unlimited Blade Works] 第二季	Fate/stay night [Unlimited Blade Works] 2ndシーズン	UBW,FSN/UBW,UNLIMITED BLADE WORKS,无限剑制
罪恶王冠	ギルティクラウン	罪恶王冠,Guilty Crown,原罪之冠,ギルティクラウン
罪恶王冠 SP	ギルティクラウン SP	Guilty Crown,原罪之冠,罪之王冠,ギルティクラウン
战国BASARA	戦国BASARA	战国BASARA,戦国BASARA
战国BASARA 贰	戦国BASARA 弐	戦国BASARA 弐,战国BASARA 贰,战国BASARA
战国BASARA Judge End	戦国BASARA Judge End	戦国BASARA JUDGE END,战国BASARA第三季
搞笑漫画日和	ギャグマンガ日和	搞笑漫画日和,噱头漫画日和,ギャグマンガ
搞笑漫画日和2	ギャグマンガ日和2	搞笑漫画日和,日和2,噱头漫画日和,ギャグマンガ
搞笑漫画日和3	ギャグマンガ日和3	搞笑漫画日和,日和3,噱头漫画日和,ギャグマンガ
搞笑漫画日和＋	ギャグマンガ日和＋	搞笑漫画日和,日和4,噱头漫画日和,ギャグマンガ,搞笑漫画日和＋
浦和小调	浦和の調ちゃん	浦和の調ちゃん
来自新世界	新世界より	新世界より,来自新世界
灼眼的夏娜	灼眼のシャナ	灼眼のシャナ,夏娜,灼眼の夏娜
灼眼的夏娜II -Second-	灼眼のシャナII -Second-	灼眼のシャナ,夏娜,灼眼の夏娜
灼眼的夏娜III -Final-	灼眼のシャナIII -Final-	灼眼のシャナ,夏娜,灼眼の夏娜
灼眼的夏娜S	灼眼のシャナS	灼眼のシャナ,夏娜,灼眼の夏娜
灼眼的夏娜 OVA 恋爱与温泉的校外学习！	灼眼のシャナ特別編 “恋と温泉の校外学習!”	灼眼のシャナ,夏娜,灼眼の夏娜
灼眼的夏娜 剧场版	劇場版 灼眼のシャナ	灼眼のシャナ,夏娜,灼眼の夏娜
天地无用!	天地無用!	天地無用,天地无用
新・天地无用!	新・天地無用!	天地無用,天地无用
魔法少女砂沙美	魔法少女プリティサミー	 魔法少女プリティサミー,魔法少女砂沙美
天地无用! GXP	天地無用! GXP	天地無用！GXP,天地无用 GXP
爱·天地无用！	愛・天地無用!	愛・天地無用！,爱天地无用
天地无用！ 剧场版		天地無用,天地无用
黑子的篮球	黒子のバスケ	黑子的篮球,黒子のバスケ
黑子的篮球 第2期	黒子のバスケ 第2期	黑子的篮球,黒子のバスケ
黑子的篮球 第3期	黒子のバスケ 第3期	黑子的篮球,黒子のバスケ 第3期
新世纪福音战士 剧场版 THE END OF EVANGELION	新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION	EVA,天鹰战士,Evangelion,新世纪福音战士,新世纪エヴァンゲリオン,Air 真心为你
DOG DAYS	DOG DAYS	DOG DAYS,狗日
DOG DAYS''	DOG DAYS''	DOG DAYS,狗日,DOG DAYS''
新世纪福音战士	新世紀エヴァンゲリオン	EVA,天鹰战士,Neon Genesis Evangelion,新世紀エヴァンゲリオン
新世纪福音战士剧场版 死与新生	新世紀エヴァンゲリオン劇場版 シト新生	EVA,天鹰战士,Evangelion,新世纪福音战士,新世纪エヴァンゲリオン,死与新生
新世纪福音战士 新剧场版：序	ヱヴァンゲリヲン 新劇場版:序	EVA,天鹰战士,Neon Genesis Evangelion,新世纪福音战士,新世纪エヴァンゲリオン,EVA 序
新世纪福音战士 新剧场版：破	ヱヴァンゲリヲン 新劇場版:破	EVA,天鹰战士,Neon Genesis Evangelion,新世纪福音战士,新世纪エヴァンゲリオン,EVA 破
新世纪福音战士 新剧场版：Q	ヱヴァンゲリヲン 新劇場版:Q	EVA,天鹰战士,Neon Genesis Evangelion,新世纪福音战士,新世纪エヴァンゲリオン,EVA Q
Fate/Zero 第一季	Fate/Zero	FateZero,FATE ZERO,FZ,F/Z
热风海陆BUSHIROAD	熱風海陸ブシロード	热风海陆,熱風海陸ブシロード,热风海陆BUSHIROAD,热
关于完全听不懂老公在说什么的事 第二季	旦那が何を言っているかわからない件 2スレ目	关公说事,关于完全听不懂老公在说什么的事
无头骑士异闻录	デュラララ!!	デュラララ!!,DURARARA!!,DRRR,DRRR!!,brainsbase
宇宙兄弟	宇宙兄弟	宇宙兄弟,うちゅうきょうだい
战国无双	戦国無双	戦国無双,战国无双
Code Geass GAIDEN 亡国的阿基德	コードギアス 亡国のアキト	亡国的阿基德,コードギアス,亡国のアキト
夏目友人帐	夏目友人帳	夏目友人帐,夏目友人帳,brainsbase
续 夏目友人帐	続 夏目友人帳	夏目友人帐,夏目友人帳,续 夏目友人帐,brainsbase
夏目友人帐 参	夏目友人帳 参	夏目友人帐,夏目友人帳,brainsbase
夏目友人帐 肆	夏目友人帳 肆	夏目友人帐,夏目友人帳,brainsbase
BLACK★ROCK SHOOTER	ブラック★ロックシューター	BRS, ブラック★ロックシューター,B★RS,BLACK ROCK SHOOTER,黑岩射手
BLACK★ROCK SHOOTER OVA	ブラック★ロックシューター	BRS, ブラック★ロックシューター,B★RS,BLACK ROCK SHOOTER,黑岩射手
通灵男孩诺曼		超凡的诺曼
黑魔女学园		黒魔女さんが通る!!
恋爱研究会！～我们变成动画啦！～		こいけん！～私たちアニメになっちゃった～
宝石宠物 第七季		宝石宠物 MAGICAL CHANGE
龙与虎	とらドラ!	とらドラ!,TORADORA,龙与虎
竖笛与双肩书包 第一季		竖笛与双肩包,竖笛与双肩背包
竖笛与双肩书包 第二季		竖笛与双肩包,竖笛与双肩背包
竖笛与双肩书包 第三季		リコーダーとランドセル ミ☆
竖笛与双肩书包 OAD		竖笛与双肩包,竖笛与双肩背包
天然萌少女明日香	今日のあすかショー	天然萌少女明日香
你好七叶 第一季	はいたい七葉	はいたい七叶,HAITAI七叶,你好七叶
你好 七叶 第二季		はいたい七叶,HAITAI七叶
怪诞小镇	怪奇ゾーン グラビティフォールズ	GRAVITY FALLS,怪奇ゾーン グラビティフォールズ,怪诞小镇
怪诞小镇 2	怪奇ゾーン グラビティフォールズ 2	GRAVITY FALLS,怪奇ゾーン グラビティフォールズ,怪诞小镇
军火女王 第一季	ヨルムンガンド	ヨルムンガンド
军火女王 PERFECT ORDER	ヨルムンガンド PERFECT ORDER	ヨルムンガンド,军火女王
荔枝☆光俱乐部		
萌菌物语 Returns	もやしもん リターンズ	农大菌物语,萌菌物語RETURN,萌菌物语
战斗之魂 第七季		バトルスピリッツ烈火魂,战斗之魂BURNING SOUL,战斗之魂 烈火灵魂
那年那兔那些事儿 第一季		那年那兔那些事儿
侦探歌剧 少女福尔摩斯	探偵オペラ ミルキィホームズ	探侦オペラ,　 ミルキィホームズ,侦探歌剧：少女福尔摩斯,侦探歌剧,MILKY HOLMES,探偵オペラ ミルキィホームズ
侦探歌剧 少女福尔摩斯 第二幕	探偵オペラ ミルキィホームズ 第2幕	探侦オペラ,　 ミルキィホームズ,侦探歌剧：少女福尔摩斯,侦探歌剧,MILKY HOLMES,探偵オペラ ミルキィホームズ
两个人是少女福尔摩斯	ふたりはミルキィホームズ	ふたりはミルキィホームズ,两个人是少女福尔摩斯,Milky Holmes 第三幕
纸箱战机 第一部		纸箱战机W
PUNKISS！2次元	ぱんきす!2次元	ぱんきす！2次元
四月是你的谎言	四月は君の嘘	四月是你的谎言,四月は君の嘘
王牌御史		王牌
希德尼娅的骑士 剧场版	劇場版 シドニアの騎士	シドニアの騎士,KNIGHTS OF SIDONIA
攻壳机动队	GHOST IN THE SHELL / 攻殻機動隊	GHOST IN THE SHELL,STAND ALONE COMPLEX,攻壳机动队
吃饭睡觉打豆豆		《吃饭睡觉打豆豆》,豆豆动画之吃饭睡觉打豆豆
我的三体		《我的三体》
攻壳机动队 S.A.C. Solid State Society	攻殻機動隊 STAND ALONE COMPLEX Solid State Society	攻殻機動隊S.A.C 2ND GIG,攻壳机动队 S.A.C
攻壳机动队 S.A.C 剧场版：2.0	GHOST IN THE SHELL / 攻殻機動隊2.0	GHOST IN THE SHELL,STAND ALONE COMPLEX,攻壳机动队
光之美少女 第七季		霹雳Q娃,美丽祭祀,PRECURE,PRETTY CURE,プリキュア,微笑Q娃,心跳Q娃,光之美少女DOKIDOKI,DOKIDOKI,ふたりはプリキュア
光之美少女 第十季		心跳！光之美少女
光之美少女 第十一季		霹雳Q娃,美丽祭祀,PRECURE,PRETTY CURE,プリキュア,微笑Q娃,心跳Q娃,光之美少女DOKIDOKI,DOKIDOKI,ふたりはプリキュア
攻壳机动队 笑面男	攻殻機動隊 STAND ALONE COMPLEX the Laughing Man,攻壳机动队 笑面男	GHOST IN THE SHELL,STAND ALONE COMPLEX,攻壳机动队
攻壳机动队 个别的十一人	攻殻機動隊 S.A.C. 2nd GIG Individual Eleven,攻壳机动队 个别的十一人	GHOST IN THE SHELL,STAND ALONE COMPLEX,攻壳机动队
虫师	蟲師	むしし,MUSHISHI
游☆戏☆王 5D's 第一季	遊☆戯☆王 ファイブディーズ	游戏王,YU-GI-OH!,遊戯王,游☆戏☆王,游戏王5D\\'S,遊☆戯☆王 ファイブディーズ,打牌王
游☆戏☆王 5D's 第二季	遊☆戯☆王 ファイブディーズ	游戏王,YU-GI-OH!,遊戯王,游☆戏☆王,游戏王5D\\'S,遊☆戯☆王 ファイブディーズ,打牌王
游☆戏☆王 5D's 第四季	遊☆戯☆王 ファイブディーズ	游戏王,YU-GI-OH!,遊戯王,游☆戏☆王,游戏王5D\\'S,遊☆戯☆王 ファイブディーズ,打牌王
游☆戏☆王 5D's 第三季	遊☆戯☆王 ファイブディーズ	游戏王,YU-GI-OH!,遊戯王,游☆戏☆王,游戏王5D\\'S,遊☆戯☆王 ファイブディーズ,打牌王
游☆戏☆王 5D's OVA 进化的决斗！星尘龙 VS 真红魔龙	遊☆戯☆王 5D's 進化する決闘! スターダスト VS レッド・デーモンズ	游戏王,YU-GI-OH!,遊戯王,游☆戏☆王,游戏王5D\\'S,遊☆戯☆王 ファイブディーズ,打牌王
BUDDY COMPLEX	バディ・コンプレックス	BUDDY COMPLEX,バディ・コンプレックス,心灵盟友
变形金刚 领袖之证 美版第一季		变形金刚 Prime
变形金刚 领袖之证 美版第二季		变形金刚 Prime
变形金刚 领袖之证 日版		变形金刚 Prime
我的战斗&龙收藏		オレカバトル＆ドラゴンコレクション
迷你偶像 2期	ぷちます!!‐プチプチ・アイドルマスター‐	小小偶像大师,迷你偶像大师,迷你偶像
史上最强弟子兼一		史上最强の弟子ケンイチ,
团地友夫		住宅区友夫,団地ともお
VIVIDRED OPERATION	ビビッドレッド・オペレーション	绯色战姬,VIVIDRED·OPERATION,ビビッドレッド・オペレーション
幻想嘉年华	カーニバル・ファンタズム	幻想嘉年华,カーニバル・ファンタズム,TAKE MOON,型月
罗小黑战记		罗小黑
当心蝙蝠侠		
功夫熊猫盖世传奇 第一季		功夫熊猫非凡传奇
功夫熊猫盖世传奇 第二季		功夫熊猫非凡传奇
功夫熊猫盖世传奇 第三季		功夫熊猫非凡传奇
英国一家 吃在日本	英国一家, 日本を食べる	英国一家,吃在日本
昭和物语		
闪电十一人		イナズマイレブン,INAZUMA ELEVEN,閃電十一人,雷门十一人,闪电十一人GO,イナズマイレブンGO
马达加斯加的企鹅 第一季		
马达加斯加的企鹅 第二季		
究极KERORO 奇迹的时空岛		军曹大电影5
探险活宝	Adventure Time season 1	探险时间,探险活宝,探险时光,Adventure Time season
探险活宝 第三季	Adventure Time season 3	探险时间,探险活宝,探险时光,Adventure Time 
探险活宝 第四季	Adventure Time season 4	探险时间,探险活宝,探险时光
探险活宝 第五季	Adventure Time season 5	探险时间,探险活宝,探险时光
ADVENTURE TIME 第六季		探险时间,探险活宝,探险时光,ADVENTURE TIME
很帅很可爱宣言		很帅很可爱,可爱大宣言
星系保卫战		
文学少女	文学少女	文少
异世界的圣机师物语	異世界の聖機師物語	
鬼妈妈		
虽然是玻璃假面 05版		玻璃假面
虽然是玻璃假面 2013版		玻璃假面
机巧魔神		
仓鼠管家	おるちゅばんエビちゅ	仓鼠管家,おるちゅばんエビちゅ,Ebichu
重金属摇滚双面人		
魔角侦探 第一季		
魔角侦探 第二季		
寒蝉鸣泣之时 解	ひぐらしのなく頃に解	寒蝉,ひぐらしのなく顷に,寒蝉鸣泣之时礼,寒蝉鸣泣之时煌,寒蝉鸣泣之时解
寒蝉鸣泣之时 礼	ひぐらしのなく頃に礼	寒蝉,ひぐらしのなく顷に,寒蝉鸣泣之时礼,寒蝉鸣泣之时煌,寒蝉鸣泣之时解
寒蝉鸣泣之时 煌	ひぐらしのなく頃に煌	寒蝉,ひぐらしのなく顷に,寒蝉鸣泣之时礼,寒蝉鸣泣之时煌,寒蝉鸣泣之时解
斗牌传说		闘牌伝説
IGPX		アイジーピーエックス
CANVAS2 七彩的素描		CANVAS
银盘万花筒	銀盤カレイドスコープ	银盘万花筒,銀盤カレイドスコープ
极速方程式		CAPETA カペタ
到另一个你的身边去		ノエイン もうひとりの君へ
兽装机攻断空我		兽装机攻
柔和三国志冲刺!!吕布子		
杀戮公主	MURDER PRINCESS	Murder_Princess,虐杀姬
CANDY BOY	Candy☆Boy	CANDYBOY
再见绝望先生	さよなら絶望先生	绝望老师,さよなら絶望先生,再见绝望先生
俗・再见绝望先生	俗・さよなら絶望先生	绝望老师,さよなら絶望先生,俗・さよなら絶望先生,俗・再见绝望先生
忏・再见绝望先生	懺・さよなら絶望先生	绝望老师,さよなら絶望先生,懺・さよなら絶望先生,忏・再见绝望先生
太昊伏羲		伏羲
超蛙战士		超蛙
抗日英雄杨来西		抗日小英雄杨来西
蓝猫龙骑团 希望家园		龙骑团,恐龙龙骑团
蓝猫龙骑团 TV		龙骑团,恐龙龙骑团
后羿射日		星猫大剧场之后羿射日,星猫大剧场
拯救侏罗纪		星猫历险记之拯救侏罗纪
蔬果王国历险记		蔬果王国
太空堡垒 第一季		ROBOTECH
太空堡垒 第二季		ROBOTECH
太空堡垒 第三季		ROBOTECH
欢迎加入NHK！	N・H・Kにようこそ!	欢迎来到NHK！,WELCOME TO THE NHK,N.H.Kにようこそ！
地上最强新娘	すもももももも ～地上最強のヨメ～	地上最强新娘,すもももももも ～地上最強のヨメ～
最终兵器彼女	最終兵器彼女	最终兵器彼女,最終兵器彼女
牙-KIBA	牙 -KIBA-	
AIR	AIR	鸟之诗,青空,AIR
蓝猫淘气3000问 幽默舞台		蓝猫
蓝猫淘气3000问 恐龙时代		蓝猫
蓝猫淘气3000问 星际大战		蓝猫
蓝猫淘气3000问 海洋世界		蓝猫
蓝猫淘气3000问 运动系列		蓝猫
蓝猫淘气3000问 太空历险		蓝猫
勇者王GAOGAIGAR		勇者王
舞-乙HIME		舞乙HIME,人肉高达,姬动战士高达
魔豆传奇	魔豆奇伝パンダリアン	魔豆奇伝パンダリアン,魔豆传奇
变形金刚 银河之力		トランスフォーマー
我们的仙境		HEARTFUL DAYS
帕塔利洛西游记		パタリロ西遊記！
新释·真田十勇士	新釈 眞田十勇士	真田十勇士
魔兵传奇		
武器种族传说	エレメンタル ジェレイド	エレメンタル ジェレイド
机兽起源	ゾイドジェネシス	机兽起源
LOVELESS	LOVELESS	LOVELESS,无爱之战,ラブレス
我的主人爱作怪	これが私の御主人様	これが私の御主人様
机动新撰组 萌之剑		機動新撰組 萌えよ剣
麟光之翼		リーンの翼
凉风	涼風	涼風,凉风
不可思议的教室		ぱにぽにだっしゅ！
欢乐七福娘		はっぴぃセブ ざ・テレビまんが
波子汽水		波子
增血鬼果林	かりん	增血鬼果林
曙光少女		SOLTY REI
出云战记	IZUMO -猛き剣の閃記-	IZUMO,出云战记
天使心		エンジェル・ハート,ANGEL HEART
王牌鉴定人		
人机续篇		
星舰驾驶员		
异度传说		
甲贺忍法帖	バジリスク ～甲賀忍法帖～	甲贺忍法帖,バジリスク ～甲賀忍法帖～
草莓棉花糖	苺ましまろ	莓乱扔
鸦KARAS	鴉 -KARAS-	鸦KARAS,鴉 -KARAS-
神是中学生	かみちゅ!	神是中学生,かみちゅ!
极上学生会	極上生徒会	極上生徒会
老婆是魔法少女	奥さまは魔法少女	奥様は魔法少女/おくさまはまほうし,老婆是魔法少女
极限女孩		アルティメットガール
枪心剑刃	ガン×ソード	枪与剑,枪心剑刃,ガン×ソード
草莓100%		草莓百分百
心动的日子		
苍穹之法芙娜	蒼穹のファフナー	蒼穹のファフナー,苍穹之战神,苍穹的法芙娜
微笑的闪士	グレネーダー ~ほほえみの闪士~	微笑的闪士
混沌武士	サムライチャンプルー	SAMURAI CHAMPLOO,混沌武士
神无月的巫女	神無月の巫女	神无月の巫女,kannazuki no miko 
库拉乌幻之记忆	KURAU Phantom Memory	幻之记忆,KURAU PHANTOM MEMORY,库拉乌幻
诗∽片		うた∽かた
人鱼的旋律	マーメイドメロディーぴちぴちピッチ	ぴちぴちピッチピュア,真珠美人鱼,唱K小鱼仙,マーメイドメロディー
人鱼的旋律Pure	マーメイドメロディー ぴちぴちピッチ ピュア	ぴちぴちピッチピュア,真珠美人鱼,唱K小鱼仙,マーメイドメロディー
吟游默示录	吟遊黙示録マイネリーベ	吟遊黙示録マイネリーベ
吟游默示录 wieder	吟游默示录,吟游默示录 wieder,吟遊黙示録マイネリーベ wieder	吟遊黙示録マイネリーベ
公主时间	W〜ウィッシュ〜	公主的时间,W～ウィッシュ～,W~WISH~,W-WISH
拳王创世纪		热拳本色,リングにかけろ
遥远时空中 八叶抄	遙かなる時空の中で —八葉抄—	遥远时空中,遙かなる時空の中で,遥远时空中 八叶抄
遥远时空中 紫阳花物语	遙かなる時空の中で —紫陽花ゆめ語り—	遥远时空中,遙かなる時空の中で,遥远时空中 紫阳花物语
遥远时空中 舞一夜	遙かなる時空の中で 舞一夜	遥远时空中,遙かなる時空の中で,遥远时空中 舞一夜
砂和尚		砂ぼうず
日式面包王	焼きたて!!ジャぱん	焼きたて!!ジャぱん,日式面包王
次元舰队	ジパング	ジパング,次元舰队
奇幻旅程		ファンタジックチルドレン,奇幻儿童
岩窟王	岩窟王	巌窟王,岩窟王
风-心之呼吸-		WIND -A BREATH OF HEART-
女生万岁 first season	GIRLSブラボー first season	GIRLSブラボー,女孩万岁
女生万岁 second season	GIRLSブラボー second season	GIRLSブラボー,女生万岁 第二季
DEARS 亲爱一族	DearS	DEARS,亲爱一族
御伽草子	お伽草子	お伽草子,御伽草子
仙境传说	RAGNAROK THE ANIMATION	仙境传说,RAGNAROK
老师的时间		せんせいのお時間
忘却的旋律		忘却の旋律
恋风	恋風	恋風,恋风
玛德莱克丝	MADLAX	MADLAX,マドラックス,玛德莱克丝
火鸟		火の鳥
陆奥圆明流外传 修罗之刻		陸奥圓明流外伝 修羅の刻
宝贝我爱你★★		愛してるぜベイベ★★,我爱你BABY
美鸟日记		美鳥の日々,美鸟伴身边,美鸟的每一天
苏生龙王传说		レジェンズ 甦る竜王伝説
七武士	Samurai 7	SAMURAI7,サムライセブン,七武士
MONSTER	MONSTER	MONSTER,モンスター,怪物
怪医黑杰克 前作		ブラック・ジャック,BLACK JACK
怪医黑杰克 OVA2		ブラック・ジャック,BLACK JACK
向北		北へ,DIAMOND DUST DROPS
极道鲜师（TV动画）		ごくせん
战区88	エリア88	エリア88,AREA 88,空战88区
光与水的女神		光と水のダフネ
妄想代理人	妄想代理人	もうそうだいりにん,PARANOIA AGENT
月咏-MOON PHASE-		月詠,月詠 -MOON PHASE-,MOON PHASE
爱丽丝学园	学園アリス	学園アリス,爱丽丝学园
舞-HIME		
天上天下		TIANSHANGTIANXIA
BECK		
爱情泡泡糖	Φなる・あぷろーち	FINAL APPROACH,Φなる・あぷろーち,爱情泡泡糖
绚烂舞踏祭	絢爛舞踏祭 ザ・マーズ・デイブレイク	絢爛舞踏祭,ザ・マーズ・デイブレイク,绚烂舞踏祭
落叶		
小魔女蒙娜		
阴阳大战记	陰陽大戦記	阴阳大战记
蝙蝠侠传奇		新蝙蝠侠
蝙蝠侠传奇		新蝙蝠侠
LOVE♥LOVE	LOVE♥LOVE?	ラブラブ,LOVE♥LOVE？
勇午交涉人		勇午,勇午～交渉人～
风人物语	風人物語	風人物語,风人物语
酷伊忍者传		ニニンがシノブ伝
双恋		
双恋 Alternative		
TO HEART 第一季		
TO HEART Remember my memories		TO HEART〜回忆永恒〜,永恒回忆
银河天使		ギャラクシーエンジェル,GA,GALAXY ANGEL,银河天使队
银河天使Z		ギャラクシーエンジェルZ 
银河天使A/AA/S		ギャラクシーエンジェル 第3期,银河天使A,银河天使AA,银河天使S
银河天使X		ギャラクシーエンジェルX 第4期
十兵卫		十兵衛ちゃん,十兵卫 ～心形眼罩的秘密～
十兵卫2～西伯利亚柳生的逆袭～		十兵衛ちゃん2～シベリア柳生の逆襲～
超重神GRAVION		超重神グラヴィオン
超重神GRAVION Zwei（第二季）		超重神グラヴィオンツヴァイ
铁人28号		鉄人28号
铁人28号		鉄人28号
铁人28号		鉄人28号
铁人28号		鉄人28号2004年版
铁人28号		鉄人28号
灌篮少年	DEAR BOYS	DEAR BOYS,灌篮少年
.HACK  黄昏的腕轮传说		.HACK  黄昏の腕輪伝説
暗与帽子与书之旅人	ヤミと帽子と本の旅人	Yami_To_Bousi,ヤミと帽子と本の旅人,暗与帽子与
新撰组异闻录		PEACE MAKER铁,新撰组异闻录 铁,PEACE MAKER 鐵
京极夏彦 巷说百物语	京極夏彦 巷説百物語	京極夏彦 巷説百物語,巷说百物语
人鱼之森		人魚の森
战争程序员白濑		BPS バトルプログラマーシラセ
读或死 TV	R.O.D -THE TV-	R.O.D -THE TV-,READ OR DIE
读或死 OVA	R.O.D -READ OR DIE-	读或死,READ OR DIE
高桥留美子剧场		高橋留美子劇場
拜托了☆双子星		おねがい☆ツインズ,拜托了双子星
人生交叉点-HUMAN SCRAMBLE-		人間交差点,HUMAN SCRAMBLE
兽兵卫忍风帖		獣兵衛忍風帖,龍宝玉篇,龙宝玉篇
兽兵卫忍风帖		獣兵衛忍風帖,龍宝玉篇,龙宝玉篇
四圣兽 圣兽降临篇 2003		セイントビースト
四圣兽 几千个昼与夜 2005		セイントビースト
四圣兽 光阴叙事诗天使谭 2007		セイントビースト
成惠的世界		成恵の世界
钢铁守护者		GAD GUARD,ガドガード
魔法留学生		ウルトラマニアック,恋爱小魔女
妄想科学美少女		妄想科学シリーズ ワンダバスタイル,ワンダバスタイル
索尼克		音速小子,SONIC,SONIC THE HEDGEHOG,超音鼠,ソニックX
真月谭月姬	真月譚月姫	月姬,真月譚月姫,TSUKIHIME
机魂末世录		TEXHNOLYZE,テクノライズ
宇宙星路	宇宙のステルヴィア	宇宙のステルヴィア,宇宙的星路
变形金刚：微型传说		超ロボット生命体トランスフォーマー,微型金刚传说,マイクロン伝説
王室近卫队		L/R,LICENSED BY ROYAL
鼠辈怪盗		MOUSE,マウス,神偷盗鼠
高机动幻想～新结行军歌～		ガンパレード・マーチ〜新たなる行軍歌〜,高机动幻想,ガンパレード・マーチ
STRATOS 4		星空防卫队,ストラトス・フォー,星空少女队,彗星狙击战
